bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(3.9711, 3.9714]",3.971137526238842,3.9714072245054024,2,"(('bin_equal_width_2', 'x1'), ('bin_equal_width_2', 'x6'))",220
"(3.9714, 3.9717]",3.9714228457759084,3.971684114594514,2,"(('bin_equal_width_5', 'x1'), ('bin_equal_width_2', 'x6'))",212
"(3.9717, 3.972]",3.971696544974322,3.9719435596906685,2,"(('bin_equal_width_10', 'x5'), ('bin_equal_frequency_2', 'x6'))",212
"(3.972, 3.9722]",3.971963308576517,3.972227297218968,2,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_frequency_2', 'x6'))",1109
"(3.9722, 3.9725]",3.972245224237954,3.9724923160513086,2,"(('bin_equal_frequency_5', 'x2'), ('bin_equal_frequency_2', 'x6'))",82
"(3.9725, 3.9728]",3.9725139104990785,3.97277577859354,2,"(('bin_equal_frequency_10', 'x1'), ('bin_equal_frequency_2', 'x6'))",186
"(3.9728, 3.9731]",3.9727917341102206,3.9730351785803726,2,"(('bin_equal_width_10', 'x1'), ('bin_equal_frequency_2', 'x6'))",101
"(3.9731, 3.9733]",3.9730696954926636,3.973327974683046,2,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_width_2', 'x6'))",1283
"(3.9733, 3.9736]",3.9733334250542383,3.973591034781718,2,"(('bin_equal_width_5', 'x2'), ('bin_equal_width_2', 'x6'))",236
"(3.9736, 3.9739]",3.9736138759768975,3.973871949300977,2,"(('zscore_filter_3', 'x2'), ('bin_equal_width_2', 'x6'))",140
"(3.9739, 3.9742]",3.973886848625631,3.974152218363454,2,"(('bin_equal_width_2', 'x2'), ('bin_equal_width_2', 'x6'))",186
"(3.9742, 3.9744]",3.9741609985435913,3.974422803671035,3,"(('bin_equal_frequency_2', 'x1'), ('bin_equal_frequency_5', 'x2'), ('bin_equal_width_2', 'x6'))",158
"(3.9744, 3.9747]",3.974441861037105,3.97469088894308,2,"(('bin_equal_width_10', 'x2'), ('bin_equal_width_2', 'x6'))",257
"(3.9747, 3.975]",3.974702178569086,3.974975356934713,3,"(('bin_equal_frequency_2', 'x1'), ('winsorize', 'x2'), ('bin_equal_width_2', 'x6'))",49
