bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(35837.683, 36012.875]",35842.10856588249,36007.26488896229,3,"(('bin_equal_width_10', 'bathrooms'), ('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_lot15'))",54
"(36012.875, 36188.067]",36018.08908068062,36184.937267296285,3,"(('bin_equal_frequency_2', 'bathrooms'), ('bin_equal_width_5', 'sqft_basement'), ('bin_equal_frequency_10', 'sqft_living'))",78
"(36188.067, 36363.259]",36189.503067786434,36360.205696259014,2,"(('bin_equal_frequency_2', 'sqft_lot15'), ('isolationForest', 'bathrooms'))",75
"(36363.259, 36538.451]",36363.61575878869,36537.62519153195,2,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_width_5', 'sqft_living15'))",105
"(36538.451, 36713.643]",36542.55192598603,36711.68233205411,3,"(('bin_equal_frequency_2', 'bathrooms'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_width_5', 'sqft_living15'))",104
"(36713.643, 36888.835]",36718.814001040504,36887.206526137976,2,"(('bin_equal_frequency_5', 'sqft_living'), ('bin_equal_frequency_2', 'yr_built'))",127
"(36888.835, 37064.027]",36890.37249983241,37055.2937584098,2,"(('bin_equal_width_5', 'sqft_basement'), ('bin_equal_frequency_10', 'sqft_living'))",143
"(37064.027, 37239.22]",37065.55800364978,37238.05892030914,2,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_5', 'sqft_lot15'))",189
"(37239.22, 37414.412]",37240.20158616079,37413.530583624735,2,"(('IQR', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'))",150
"(37414.412, 37589.604]",37417.462978532145,37588.47264726706,3,"(('bin_equal_frequency_2', 'bathrooms'), ('bin_equal_width_5', 'sqft_basement'), ('bin_equal_frequency_5', 'sqft_living'))",125
"(37589.604, 37764.796]",37592.184112861745,37760.86294131183,2,"(('bin_equal_frequency_10', 'sqft_living'), ('IQR', 'bedrooms'))",132
"(37764.796, 37939.988]",37766.48245988943,37937.81297871499,3,"(('bin_equal_frequency_2', 'bathrooms'), ('IQR', 'bedrooms'), ('bin_equal_frequency_10', 'sqft_living'))",140
"(37939.988, 38115.18]",37941.08151536514,38113.33224241468,2,"(('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_frequency_2', 'sqft_living15'))",174
