bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(839.882, 844.583]",842.3593019795401,842.9821059445414,5,"(('bin_equal_frequency_5', 'age'), ('norm_log', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('norm_log', 'education'))",2
"(844.583, 849.284]",844.6411990217458,847.8905251709535,5,"(('norm_log', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('bin_equal_frequency_2', 'age'))",2
"(849.284, 853.985]",849.911249702271,853.3973974185392,5,"(('bin_equal_frequency_10', 'age'), ('zscore_filter_3', 'education'), ('winsorize', 'education'), ('bin_equal_width_5', 'education'), ('isolationForest', 'age'))",4
"(853.985, 858.686]",854.0471895936244,858.0923061776042,4,"(('bin_equal_width_2', 'education'), ('IQR', 'age'), ('bin_equal_frequency_2', 'age'), ('isolationForest', 'age'))",5
"(863.387, 868.088]",865.3779824401709,867.7275100095591,4,"(('norm_log', 'age'), ('bin_equal_width_10', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",9
"(868.088, 872.788]",868.8164310804166,872.3170548682415,5,"(('norm_log', 'age'), ('bin_equal_width_10', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('norm_log', 'education'))",3
"(872.788, 877.489]",875.2597761968157,875.2597761968157,5,"(('norm_log', 'age'), ('zscore_filter_3', 'age'), ('bin_equal_width_2', 'age'), ('bin_equal_width_10', 'education'), ('isolationForest', 'age'))",1
"(877.489, 882.19]",878.2323844206053,881.6752861214784,5,"(('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_5', 'education'), ('norm_log', 'education'), ('isolationForest', 'age'), ('norm_log', 'age'))",4
"(882.19, 886.891]",882.744432694792,886.8781726572877,5,"(('bin_equal_frequency_5', 'age'), ('norm_log', 'education'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",7
"(886.891, 891.592]",888.1366107065005,891.4493019187697,4,"(('bin_equal_frequency_5', 'age'), ('bin_equal_frequency_5', 'education'), ('norm_log', 'education'), ('isolationForest', 'age'))",15
"(891.592, 896.293]",893.181049636294,896.201911441591,4,"(('bin_equal_frequency_10', 'age'), ('bin_equal_frequency_5', 'education'), ('norm_log', 'education'), ('isolationForest', 'age'))",30
"(896.293, 900.994]",896.6761234461958,898.4206380037677,4,"(('norm_log', 'age'), ('zscore_clip_3', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",10
"(900.994, 905.695]",902.1990331289811,905.5388313314616,4,"(('zscore_clip_3', 'age'), ('IQR', 'education'), ('bin_equal_frequency_5', 'age'), ('isolationForest', 'age'))",17
"(905.695, 910.395]",906.9045534698384,909.5935718648793,4,"(('IQR', 'education'), ('bin_equal_frequency_5', 'age'), ('norm_log', 'education'), ('isolationForest', 'age'))",5
"(910.395, 915.096]",911.3475744676618,913.2450603943643,5,"(('bin_equal_frequency_10', 'age'), ('norm_log', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",3
"(915.096, 919.797]",915.9827252244022,919.4537355856627,3,"(('bin_equal_frequency_10', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",85
"(919.797, 924.498]",921.3671469101407,923.6666432428915,4,"(('IQR', 'age'), ('bin_equal_frequency_2', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",15
"(924.498, 929.199]",925.9226155165151,929.0795982974088,5,"(('norm_log', 'age'), ('zscore_clip_3', 'age'), ('bin_equal_frequency_10', 'age'), ('zscore_clip_3', 'education'), ('isolationForest', 'age'))",6
"(929.199, 933.9]",929.2539098553427,933.2186749109346,4,"(('norm_log', 'age'), ('zscore_filter_3', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",12
"(933.9, 938.601]",935.4544421796542,937.6006829127476,4,"(('bin_equal_frequency_5', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",15
"(938.601, 943.302]",938.6726236740373,943.2560448379437,4,"(('norm_log', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'), ('bin_equal_frequency_5', 'age'))",22
"(943.302, 948.002]",944.0812875301381,947.6376830614894,5,"(('bin_equal_frequency_10', 'age'), ('zscore_clip_3', 'education'), ('bin_equal_width_10', 'education'), ('IQR', 'education'), ('isolationForest', 'age'))",7
"(948.002, 952.703]",948.6343201276707,951.2362478397611,4,"(('bin_equal_frequency_10', 'age'), ('norm_log', 'age'), ('bin_equal_frequency_2', 'education'), ('isolationForest', 'age'))",28
"(952.703, 957.404]",953.4136711109079,956.2760105718033,5,"(('bin_equal_frequency_10', 'age'), ('winsorize', 'education'), ('zscore_clip_3', 'education'), ('IQR', 'education'), ('isolationForest', 'age'))",5
"(957.404, 962.105]",957.9747024018042,961.9361617477501,3,"(('norm_log', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",57
"(962.105, 966.806]",962.2086054818619,966.3706843436901,4,"(('bin_equal_frequency_10', 'age'), ('zscore_filter_3', 'education'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",15
"(966.806, 971.507]",966.9200301653865,971.4975793403563,4,"(('zscore_clip_3', 'age'), ('bin_equal_width_10', 'age'), ('bin_equal_frequency_5', 'education'), ('isolationForest', 'age'))",25
"(971.507, 976.208]",971.8691927370166,975.7859443168937,5,"(('norm_log', 'age'), ('bin_equal_width_10', 'age'), ('winsorize', 'education'), ('bin_equal_width_5', 'education'), ('isolationForest', 'age'))",4
