bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(27273.157, 27444.498]",27320.524544048356,27438.050442916225,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_5', 'sqft_living15'), ('bin_equal_frequency_10', 'sqft_living'))",6
"(27444.498, 27615.839]",27517.365427595796,27517.365427595796,3,"(('bin_equal_frequency_5', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_width_2', 'sqft_basement'))",1
"(27615.839, 27787.179]",27636.648056524806,27786.221316283336,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_width_2', 'sqft_basement'))",5
"(27787.179, 27958.52]",27854.13265492342,27857.650606134674,3,"(('bin_equal_frequency_2', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'), ('IQR', 'bedrooms'))",2
"(27958.52, 28129.861]",27961.670343792997,28100.877992376336,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'), ('norm_log', 'sqft_lot'))",7
"(28129.861, 28301.202]",28136.651920749922,28299.624319251976,3,"(('bin_equal_frequency_2', 'grade'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'))",6
"(28301.202, 28472.543]",28338.92970422306,28470.748635970405,3,"(('bin_equal_frequency_2', 'sqft_living15'), ('bin_equal_frequency_5', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",5
"(28472.543, 28643.884]",28474.447034404497,28637.359753441182,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'), ('bin_equal_width_2', 'sqft_living15'))",7
"(28643.884, 28815.225]",28656.906088515883,28812.189102698583,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('IQR', 'yr_built'), ('bin_equal_frequency_10', 'sqft_living'))",3
"(28815.225, 28986.566]",28846.774209245224,28975.274277049117,3,"(('bin_equal_frequency_2', 'bedrooms'), ('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_10', 'sqft_living'))",9
"(28986.566, 29157.907]",29002.39363833517,29142.24023986509,3,"(('bin_equal_frequency_2', 'sqft_lot15'), ('bin_equal_frequency_2', 'yr_built'), ('norm_log', 'sqft_living'))",11
