bucket_range,min_ate_in_bin,max_ate_in_bin,min_length,best_sequence,count
"(1094.663, 1106.321]",1094.682180439564,1106.2183099443068,2,"(('bin_equal_frequency_5', 'age'), ('isolationForest', 'TABLE'))",1374
"(1106.321, 1117.979]",1106.326944481706,1117.978589511572,3,"(('bin_equal_frequency_2', 'age'), ('bin_equal_frequency_2', 'education'), ('drop_duplicates', 'TABLE'))",1459
"(1117.979, 1129.637]",1117.9807058032075,1129.626776326273,3,"(('bin_equal_frequency_5', 'education'), ('zscore_clip_3', 'age'), ('isolationForest', 'TABLE'))",1800
"(1129.637, 1141.295]",1129.6611049870871,1141.2883198869713,3,"(('bin_equal_frequency_5', 'age'), ('zscore_clip_3', 'education'), ('drop_duplicates', 'TABLE'))",1754
"(1141.295, 1152.953]",1141.3146531773664,1152.9448164994847,3,"(('bin_equal_frequency_2', 'age'), ('zscore_clip_3', 'education'), ('drop_duplicates', 'TABLE'))",2113
"(1152.953, 1164.611]",1152.9755194395148,1164.606824591347,3,"(('bin_equal_frequency_2', 'education'), ('bin_equal_width_5', 'age'), ('drop_duplicates', 'TABLE'))",2372
"(1164.611, 1176.269]",1164.6224256205178,1176.2686062114299,3,"(('bin_equal_frequency_2', 'age'), ('bin_equal_frequency_5', 'education'), ('drop_duplicates', 'TABLE'))",2116
"(1176.269, 1187.927]",1176.2782287094415,1187.8963305343887,2,"(('bin_equal_frequency_5', 'age'), ('drop_duplicates', 'TABLE'))",2477
"(1187.927, 1199.585]",1187.9397068733306,1199.5811205191217,3,"(('bin_equal_frequency_2', 'age'), ('bin_equal_width_5', 'education'), ('drop_duplicates', 'TABLE'))",2289
"(1199.585, 1211.244]",1199.5889606604578,1211.2326146279547,2,"(('bin_equal_frequency_2', 'age'), ('drop_duplicates', 'TABLE'))",2858
"(1211.244, 1222.902]",1211.249070903099,1222.9010032745864,2,"(('bin_equal_frequency_2', 'age'), ('isolationForest', 'TABLE'))",3509
"(1222.902, 1234.56]",1222.912673513957,1234.5558837531657,3,"(('bin_equal_frequency_2', 'age'), ('norm_log', 'education'), ('drop_duplicates', 'TABLE'))",3360
"(1234.56, 1246.218]",1234.5690124095013,1246.2088573536575,3,"(('bin_equal_frequency_2', 'education'), ('isolationForest', 'TABLE'), ('drop_duplicates', 'TABLE'))",3670
"(1246.218, 1257.876]",1246.2242955855181,1257.865794351766,3,"(('bin_equal_frequency_2', 'education'), ('zscore_filter_3', 'age'), ('isolationForest', 'TABLE'))",3228
"(1257.876, 1269.534]",1257.8815331740689,1269.533200568223,2,"(('bin_equal_width_2', 'age'), ('drop_duplicates', 'TABLE'))",3530
"(1269.534, 1281.192]",1269.5395859978416,1281.1911220120028,2,"(('bin_equal_width_10', 'age'), ('drop_duplicates', 'TABLE'))",3530
"(1281.192, 1292.85]",1281.192714105171,1292.8448254128907,3,"(('bin_equal_frequency_5', 'education'), ('norm_log', 'education'), ('isolationForest', 'TABLE'))",3343
"(1292.85, 1304.508]",1292.8635064397745,1304.5035217519926,3,"(('bin_equal_width_5', 'age'), ('IQR', 'age'), ('drop_duplicates', 'TABLE'))",3233
"(1304.508, 1316.166]",1304.514409378855,1316.1650864494304,3,"(('bin_equal_frequency_5', 'age'), ('bin_equal_width_2', 'education'), ('drop_duplicates', 'TABLE'))",3610
"(1316.166, 1327.824]",1316.222235114451,1327.816507054587,3,"(('bin_equal_width_2', 'education'), ('drop_duplicates', 'TABLE'), ('isolationForest', 'TABLE'))",3495
"(1327.824, 1339.482]",1327.8280650532042,1339.4802679867194,3,"(('bin_equal_frequency_5', 'education'), ('bin_equal_width_5', 'age'), ('isolationForest', 'TABLE'))",3699
